Frequent itemsets:
0.013732959101844426 : frozenset({'1'})
0.030072173215717722 : frozenset({'101'})
0.01222935044105854 : frozenset({'103'})
0.0334803528468324 : frozenset({'105'})
0.025160384923817163 : frozenset({'106'})
0.024057738572574178 : frozenset({'109'})
0.03518444266238974 : frozenset({'11'})
0.06655974338412189 : frozenset({'111'})
0.03799117882919006 : frozenset({'112'})
0.056435445068163594 : frozenset({'113'})
0.023857257417802726 : frozenset({'115'})
0.07006816359262229 : frozenset({'116'})
0.05072173215717723 : frozenset({'117'})
0.011928628708901363 : frozenset({'118'})
0.057137129109863675 : frozenset({'119'})
0.0603448275862069 : frozenset({'121'})
0.043203688853247796 : frozenset({'123'})
0.02165196471531676 : frozenset({'125'})
0.033279871692060946 : frozenset({'126'})
0.01603849238171612 : frozenset({'127'})
0.02445870088211708 : frozenset({'128'})
0.0272654370489174 : frozenset({'129'})
0.0603448275862069 : frozenset({'13'})
0.047814755412991176 : frozenset({'130'})
0.0303728949478749 : frozenset({'131'})
0.011427425821972734 : frozenset({'132'})
0.043404170008019244 : frozenset({'133'})
0.024358460304731357 : frozenset({'137'})
0.030673616680032077 : frozenset({'139'})
0.02445870088211708 : frozenset({'140'})
0.10555332798716921 : frozenset({'141'})
0.025561347233360066 : frozenset({'142'})
0.01483560545308741 : frozenset({'143'})
0.03789093825180433 : frozenset({'144'})
0.012530072173215718 : frozenset({'145'})
0.101242983159583 : frozenset({'146'})
0.018444266238973536 : frozenset({'148'})
0.06575781876503609 : frozenset({'152'})
0.03989574979951885 : frozenset({'155'})
0.027165196471531677 : frozenset({'156'})
0.018744987971130715 : frozenset({'158'})
0.01603849238171612 : frozenset({'159'})
0.046511627906976744 : frozenset({'16'})
0.03187650360866079 : frozenset({'160'})
0.0101242983159583 : frozenset({'161'})
0.0642542101042502 : frozenset({'162'})
0.035685645549318364 : frozenset({'163'})
0.014234161988773055 : frozenset({'164'})
0.015136327185244587 : frozenset({'165'})
0.031676022453889334 : frozenset({'169'})
0.014234161988773055 : frozenset({'17'})
0.022353648757016842 : frozenset({'171'})
0.05262630312750601 : frozenset({'172'})
0.01643945469125902 : frozenset({'173'})
0.02054931836407378 : frozenset({'174'})
0.013833199679230152 : frozenset({'175'})
0.07618283881315156 : frozenset({'176'})
0.018444266238973536 : frozenset({'177'})
0.08189655172413793 : frozenset({'178'})
